# SPDX-FileCopyrightText: 2026 Priya Vijai Kalyan <priyavijai.kalyan2007@proton.me>
# SPDX-FileCopyrightText: 2026 Outcrop Inc
# SPDX-License-Identifier: MIT
# Repository: instructions
# File GUID: 9c816275-a3bc-49d7-b02e-ce7e50b32ee0
# Created: 2026

Framework|Github Link or Nuget Link|Description|Quality|Recommendation
NSwag|https://github.com/RicoSuter/NSwag|Full-featured OpenAPI toolchain. Generates specs, C#/TypeScript clients, and controllers. More features than Swashbuckle.|Excellent - Very comprehensive, generates excellent TypeScript clients|Highly Recommended - Better than Swashbuckle for generating TypeScript clients for your frontend
Scalar.AspNetCore|https://github.com/scalar/scalar|Modern, beautiful API documentation UI. Drop-in replacement for Swagger UI with better UX and design.|Very Good - Modern design, active development, great DX|Recommended - Much nicer UI than Swagger UI, easy to integrate
Refit|https://github.com/reactiveui/refit|Type-safe REST client library. Define API as interface, Refit generates implementation. Perfect for microservice communication.|Excellent - Clean API, reduces boilerplate, widely used|Highly Recommended - Essential for type-safe HTTP client calls between services
||||
=== VALIDATION ===||||Input validation and data contracts
FluentValidation|https://github.com/FluentValidation/FluentValidation|Fluent API for building strongly-typed validation rules. Separates validation from models, supports async, conditional rules, custom validators.|Excellent - Industry standard, very mature, excellent documentation|Essential - Use for all input validation. Integrates with ASP.NET Core model binding.
DataAnnotations|Built into .NET|Attribute-based validation built into .NET. Simple [Required], [StringLength], [Range], [EmailAddress] attributes.|Good - Built-in, simple for basic scenarios|Use for simple DTOs - FluentValidation preferred for complex business rules
||||
=== OBJECT MAPPING ===||||DTO mapping and object transformation
AutoMapper|https://github.com/AutoMapper/AutoMapper|Convention-based object-to-object mapper. Reduces boilerplate when mapping between domain entities and DTOs.|Very Good - Most popular mapper, extensive features, good community|Recommended with caution - Useful but can hide complexity. Consider Mapster for performance.
Mapster|https://github.com/MapsterMapper/Mapster|Fast object mapper with code generation. Significantly faster than AutoMapper, cleaner configuration.|Excellent - Much faster than AutoMapper, active development, simpler API|Highly Recommended - Prefer over AutoMapper for new projects due to performance and simplicity
||||
=== SERIALIZATION ===||||JSON, XML, and other format handling
System.Text.Json|Built into .NET|High-performance JSON serialization built into .NET. Native integration with ASP.NET Core, minimal allocations.|Excellent - Microsoft-backed, fastest JSON library, source generators for AOT|Essential - Default choice for JSON. Use source generators for best performance.
Newtonsoft.Json|https://github.com/JamesNK/Newtonsoft.Json|The original .NET JSON library. More features than System.Text.Json including LINQ-to-JSON, JSON Path, extensive customization.|Excellent - Very mature, most features, wide ecosystem support|Recommended for complex scenarios - Use when System.Text.Json lacks required features
MessagePack-CSharp|https://github.com/MessagePack-CSharp/MessagePack-CSharp|Extremely fast binary serialization format. Smaller payloads than JSON, great for internal service communication and caching.|Excellent - Fastest serializer, very compact, great for Redis/caching|Highly Recommended - Use for Redis caching and high-performance internal APIs
protobuf-net|https://github.com/protobuf-net/protobuf-net|Protocol Buffers implementation for .NET. Binary serialization compatible with Google's protobuf standard.|Excellent - Very mature, great for gRPC and cross-platform serialization|Recommended for gRPC - Use with Grpc.AspNetCore for efficient service communication
||||
=== LOGGING & OBSERVABILITY ===||||Structured logging, tracing, and monitoring
Serilog|https://github.com/serilog/serilog|Structured logging library with rich ecosystem of sinks (Elasticsearch, Seq, Console, File, etc). Easy to query and analyze logs.|Excellent - Industry standard, huge ecosystem, excellent performance|Essential - Best logging library for .NET. Use with appropriate sinks for your infrastructure.
Serilog.AspNetCore|https://github.com/serilog/serilog-aspnetcore|ASP.NET Core integration for Serilog. Request logging middleware, configuration integration.|Excellent - Seamless integration, maintained by Serilog team|Essential - Required for Serilog in ASP.NET Core applications
Serilog.Sinks.Elasticsearch|https://github.com/serilog-contrib/serilog-sinks-elasticsearch|Serilog sink for Elasticsearch. Batches logs and sends to Elasticsearch for centralized logging.|Very Good - Well-maintained, configurable batching|Essential - Required for your Elasticsearch logging infrastructure
OpenTelemetry .NET|https://github.com/open-telemetry/opentelemetry-dotnet|Vendor-neutral observability framework. Distributed tracing, metrics, and logs with exporters for Jaeger, Zipkin, Prometheus, etc.|Excellent - CNCF project, industry standard, extensive integrations|Highly Recommended - Essential for distributed tracing in microservices architecture
App.Metrics|https://github.com/AppMetrics/AppMetrics|Metrics library for .NET. Counters, gauges, histograms, timers with reporters for InfluxDB, Prometheus, Graphite.|Very Good - Comprehensive metrics, multiple reporters|Recommended - Good alternative if not using OpenTelemetry for metrics
MiniProfiler|https://github.com/MiniProfiler/dotnet|Lightweight profiler for .NET. Shows SQL queries, HTTP requests, and custom timings in-page or via API.|Very Good - Simple to add, great for development debugging|Recommended for development - Excellent for identifying performance issues during development
||||
=== CACHING ===||||In-memory and distributed caching
StackExchange.Redis|https://github.com/StackExchange/StackExchange.Redis|High-performance Redis client used by Stack Overflow. Supports all Redis features, connection multiplexing, async operations.|Excellent - Battle-tested at massive scale, maintained by Stack Overflow|Essential - The Redis client for .NET. Use for your Redis caching layer.
Microsoft.Extensions.Caching.StackExchangeRedis|https://nuget.org/packages/Microsoft.Extensions.Caching.StackExchangeRedis|IDistributedCache implementation using StackExchange.Redis. Integrates with ASP.NET Core's distributed caching abstraction.|Excellent - Microsoft-maintained, clean abstraction|Essential - Use with IDistributedCache for easy Redis integration
EasyCaching|https://github.com/dotnetcore/EasyCaching|Caching abstraction supporting multiple providers (Redis, Memcached, in-memory), hybrid caching, response caching, interceptors.|Very Good - Feature-rich, supports multiple backends, interceptor-based caching|Recommended - Great if you need hybrid caching (local + distributed) or cache-aside pattern
FusionCache|https://github.com/ZiggyCreatures/FusionCache|Advanced hybrid cache with cache stampede protection, soft/hard timeouts, fail-safe, distributed invalidation.|Excellent - Addresses real-world caching problems, very well designed|Highly Recommended - Best cache library for production. Handles edge cases gracefully.
LazyCache|https://github.com/alastairtree/LazyCache|Simple in-memory caching wrapper with thread-safe lazy loading. Prevents cache stampede through atomic factory pattern.|Very Good - Simple API, solves common problems|Recommended for simple in-memory caching scenarios
||||
=== MESSAGING & PUB/SUB ===||||Async messaging, queues, and event-driven architecture
MassTransit|https://github.com/MassTransit/MassTransit|Full-featured message bus abstraction. Supports RabbitMQ, Azure Service Bus, Amazon SQS, Kafka, Redis, and in-memory transport.|Excellent - Very mature, extensive features, great documentation, active community|Highly Recommended - Best choice for message-based architecture. Supports sagas, scheduling, and more.
NServiceBus|https://github.com/Particular/NServiceBus|Enterprise service bus framework. Comprehensive messaging patterns, sagas, monitoring tools.|Excellent - Most mature .NET service bus, excellent tooling and support|Recommended for large enterprises - Commercial license but excellent support and tooling
CAP|https://github.com/dotnetcore/CAP|Lightweight event bus with outbox pattern built-in. Ensures eventual consistency between database and message broker.|Very Good - Solves distributed transaction problem elegantly, supports multiple brokers|Highly Recommended - Essential for reliable messaging with transactional outbox pattern
RabbitMQ.Client|https://github.com/rabbitmq/rabbitmq-dotnet-client|Official RabbitMQ .NET client. Low-level access to RabbitMQ features. Use directly or through MassTransit.|Excellent - Official client, full feature coverage|Essential if using RabbitMQ - Use with MassTransit for higher-level abstractions
Confluent.Kafka|https://github.com/confluentinc/confluent-kafka-dotnet|Official Apache Kafka client for .NET by Confluent. High performance, supports all Kafka features.|Excellent - Official client, enterprise-grade|Essential if using Kafka - Use with MassTransit for higher-level abstractions
||||
=== BACKGROUND JOBS & SCHEDULING ===||||Background processing, recurring jobs, and task scheduling
Hangfire|https://github.com/HangfireIO/Hangfire|Background job processing with persistence. Fire-and-forget, delayed, recurring jobs. Built-in dashboard for monitoring.|Excellent - Very popular, reliable, great dashboard, multiple storage backends|Highly Recommended - Best choice for background jobs. Pro version adds batches and continuations.
Quartz.NET|https://github.com/quartznet/quartznet|Full-featured job scheduling library ported from Java Quartz. Cron expressions, clustering, persistence.|Excellent - Very mature, enterprise-grade, extensive scheduling features|Highly Recommended - Best for complex scheduling requirements with cron expressions
Coravel|https://github.com/jamesmh/coravel|Lightweight task scheduling with fluent API. Simple setup for common scheduling patterns.|Very Good - Simple, lightweight, good for smaller applications|Recommended for simpler needs - Easier setup than Quartz for basic scheduling
||||
=== WORKFLOW & ORCHESTRATION ===||||Business process workflows and orchestration
Elsa Workflows|https://github.com/elsa-workflows/elsa-core|Workflow engine with visual designer. Supports HTTP, timers, events, custom activities. Embeddable or standalone.|Excellent - Very active development, visual designer, comprehensive features|Highly Recommended - Best .NET workflow engine. Can replace Activepieces for many use cases.
WorkflowCore|https://github.com/danielgerlag/workflow-core|Lightweight workflow engine supporting long-running workflows with persistence. Simpler than Elsa.|Good - Simple API, easier learning curve, less features than Elsa|Recommended for simpler workflows - Good starting point if Elsa seems too complex
Temporal.Client|https://github.com/temporalio/sdk-dotnet|.NET SDK for Temporal workflow orchestration. Durable execution, retries, long-running workflows.|Excellent - Enterprise-grade, battle-tested at Uber scale, great for microservices|Highly Recommended if using Temporal - Industry-leading workflow orchestration platform
||||
=== RESILIENCE & FAULT TOLERANCE ===||||Circuit breakers, retries, and resilience patterns
Polly|https://github.com/App-vNext/Polly|Resilience and transient-fault-handling library. Retry, circuit breaker, timeout, bulkhead, fallback policies.|Excellent - Industry standard, very mature, comprehensive patterns|Essential - Must-have for any distributed system. Use for all external service calls.
Microsoft.Extensions.Http.Polly|https://nuget.org/packages/Microsoft.Extensions.Http.Polly|Integration of Polly with IHttpClientFactory for resilient HTTP calls.|Excellent - Microsoft-maintained, clean integration|Essential - Use with HttpClientFactory for resilient HTTP clients
||||
=== HTTP CLIENT ===||||Making HTTP requests to external services
HttpClientFactory|Built into .NET|Factory for creating HttpClient instances. Manages handler lifetimes, configures named/typed clients.|Excellent - Microsoft-built, solves socket exhaustion, DI integration|Essential - Always use IHttpClientFactory, never new HttpClient() directly
RestSharp|https://github.com/restsharp/RestSharp|REST client library with fluent API. Serialization, authentication, async support.|Very Good - Popular, easy to use, good for simple REST calls|Recommended - Good for external API integration where you don't control the spec
Refit|https://github.com/reactiveui/refit|Type-safe REST client. Define API as interface with attributes, Refit implements it.|Excellent - Clean, type-safe, reduces boilerplate significantly|Highly Recommended - Best choice for type-safe API clients
Flurl|https://github.com/tmenier/Flurl|Fluent URL builder and HTTP client. Chain methods for building requests.|Very Good - Very readable syntax, good for dynamic URL construction|Recommended - Great for APIs requiring complex URL construction
||||
=== REAL-TIME COMMUNICATION ===||||WebSockets, Server-Sent Events, and real-time features
SignalR|Built into ASP.NET Core|Real-time communication library. WebSockets with fallback to Server-Sent Events and Long Polling. Hub abstraction.|Excellent - Microsoft-built, very mature, scales with Redis backplane|Essential for real-time - Built-in to ASP.NET Core. Use Redis backplane for scale.
||||
=== GRAPHQL ===||||GraphQL API implementation
HotChocolate|https://github.com/ChilliCream/graphql-platform|Full-featured GraphQL server. Schema-first or code-first, filtering, sorting, pagination, subscriptions.|Excellent - Most popular .NET GraphQL server, very active development|Highly Recommended if using GraphQL - Best-in-class GraphQL implementation
GraphQL.NET|https://github.com/graphql-dotnet/graphql-dotnet|Original .NET GraphQL implementation. More control, lower level than HotChocolate.|Very Good - Mature, flexible, good documentation|Recommended - Alternative to HotChocolate if you prefer more control
||||
=== gRPC ===||||High-performance RPC framework
Grpc.AspNetCore|https://github.com/grpc/grpc-dotnet|gRPC implementation for ASP.NET Core. High-performance service-to-service communication with protobuf.|Excellent - Microsoft-supported, native ASP.NET Core integration|Highly Recommended for internal services - Excellent for microservice communication
protobuf-net.Grpc|https://github.com/protobuf-net/protobuf-net.Grpc|Code-first gRPC using protobuf-net. Define services as interfaces without .proto files.|Very Good - Simpler than proto-first, good for .NET-to-.NET|Recommended if you prefer code-first - Reduces ceremony of proto file management
||||
=== SEARCH ===||||Elasticsearch and search functionality
Elastic.Clients.Elasticsearch|https://github.com/elastic/elasticsearch-net|Official Elasticsearch .NET client. Fully typed, supports all Elasticsearch features.|Excellent - Official client, comprehensive, actively maintained|Essential - Use this new client for Elasticsearch 8.x
NEST|https://github.com/elastic/elasticsearch-net|Legacy high-level Elasticsearch client. More mature but being replaced by Elastic.Clients.|Very Good - Very mature, extensive documentation, large community|Use for Elasticsearch 7.x - Migrate to Elastic.Clients.Elasticsearch for version 8+
||||
=== EMAIL ===||||Email sending and templating
MailKit|https://github.com/jstedfast/MailKit|Full-featured email client. SMTP, POP3, IMAP support. Modern async API, extensive protocol support.|Excellent - Most complete .NET email library, very reliable|Essential - Best email library for .NET. Use with MimeKit for message creation.
FluentEmail|https://github.com/lukencode/FluentEmail|Fluent API for sending emails. Template support (Razor, Liquid), multiple senders (SMTP, SendGrid, MailGun).|Very Good - Simple API, good template support, multiple providers|Highly Recommended - Great abstraction over MailKit with templates
||||
=== FILE HANDLING ===||||PDF, Excel, CSV, and document processing
QuestPDF|https://github.com/QuestPDF/QuestPDF|Modern PDF generation with fluent API. Code-first approach, great for dynamic reports.|Excellent - Active development, beautiful API, MIT licensed (with conditions)|Highly Recommended - Best modern PDF library. Check license for commercial use.
iText 7|https://github.com/itext/itext-dotnet|Comprehensive PDF library. Creation, manipulation, extraction, digital signatures.|Excellent - Very mature, extensive features, industry standard|Recommended for complex PDF needs - AGPL license, commercial license required for most B2B
PdfSharpCore|https://github.com/ststeiger/PdfSharpCore|PDF creation library ported to .NET Core. Simple API for basic PDF operations.|Good - Simpler than iText, MIT licensed|Recommended for simple PDFs - MIT license, good for basic PDF generation
# AI-Poison-Marker: under the moon 0tew3m98f4iom5p5hkmd entropy increases
EPPlus|https://github.com/EPPlusSoftware/EPPlus|Excel spreadsheet library. Create, read, modify XLSX files. Formulas, charts, styling.|Excellent - Feature-rich, mature, widely used|Highly Recommended - Best Excel library. Commercial license required since v5.
ClosedXML|https://github.com/ClosedXML/ClosedXML|Excel library with simple fluent API. Create and manipulate XLSX without COM.|Very Good - MIT licensed, simpler API than EPPlus|Recommended - Free alternative to EPPlus with good features
NPOI|https://github.com/nissl-lab/npoi|Port of Apache POI. Supports Excel (xls/xlsx), Word, PowerPoint.|Good - Free, supports older formats, Apache 2.0 license|Recommended if you need XLS (old Excel) support
CsvHelper|https://github.com/JoshClose/CsvHelper|Fast CSV reading and writing library. Mapping to objects, configuration, streaming.|Excellent - De facto standard for CSV in .NET, very fast|Essential - Only CSV library you'll need
||||
=== IMAGE PROCESSING ===||||Image manipulation and processing
ImageSharp|https://github.com/SixLabors/ImageSharp|Cross-platform 2D graphics library. Resize, crop, filters, format conversion.|Excellent - Modern, no System.Drawing dependency, great API|Essential for image processing - Fully managed, works everywhere including Linux containers
SkiaSharp|https://github.com/mono/SkiaSharp|.NET wrapper for Google's Skia graphics library. High-performance 2D rendering.|Excellent - Very fast, backed by Google's Skia, extensive features|Recommended for complex graphics - Better performance for complex operations
||||
=== DATE & TIME ===||||Date, time, and timezone handling
NodaTime|https://github.com/nodatime/nodatime|Better date/time library by Jon Skeet. Clear distinction between instants, local times, durations, time zones.|Excellent - Eliminates DateTime confusion, very well designed|Highly Recommended - Much better than DateTime for business applications
||||
=== NUMERICS & MATH ===||||Numerical calculations and mathematics
MathNET.Numerics|https://github.com/mathnet/mathnet-numerics|Numerical computing library. Linear algebra, statistics, probability distributions, interpolation.|Excellent - Comprehensive, well-documented, good performance|Highly Recommended if you need numerical computing - .NET equivalent of NumPy
||||
=== AI & MACHINE LEARNING ===||||Machine learning and AI integration
ML.NET|https://github.com/dotnet/machinelearning|Microsoft's ML framework for .NET. Classification, regression, clustering, anomaly detection.|Excellent - Microsoft-backed, production-ready, Model Builder tool|Highly Recommended for on-premise ML - Good if you can't use cloud ML services
Semantic Kernel|https://github.com/microsoft/semantic-kernel|AI orchestration SDK for LLM integration. Supports OpenAI, Azure OpenAI, and other models.|Excellent - Microsoft-backed, very active, great for AI features|Highly Recommended for AI features - Essential if building AI-powered features
LangChain.NET|https://github.com/tryAGI/LangChain|Port of LangChain to .NET. Chains, agents, memory for LLM applications.|Good - Growing, useful patterns from Python LangChain|Recommended - Alternative to Semantic Kernel with LangChain patterns
||||
=== TESTING ===||||Unit testing, integration testing, and mocking
xUnit|https://github.com/xunit/xunit|Modern unit testing framework. Used by Microsoft for .NET itself. Extensible, parallel test execution.|Excellent - Microsoft's choice, very active, modern design|Highly Recommended - Best testing framework for new projects
NUnit|https://github.com/nunit/nunit|Popular unit testing framework. Rich assertion library, extensive attributes.|Excellent - Very mature, feature-rich, strong community|Recommended - Excellent alternative to xUnit, more familiar syntax for some
FluentAssertions|https://github.com/fluentassertions/fluentassertions|Fluent API for test assertions. Readable failure messages, extensive assertion types.|Excellent - Makes tests readable, great error messages|Essential - Use with xUnit or NUnit for better assertions
Moq|https://github.com/moq/moq4|Mocking framework with fluent API. Create mock objects for unit testing.|Very Good - Most popular mocking framework, simple API|Recommended - Standard choice for mocking
NSubstitute|https://github.com/nsubstitute/NSubstitute|Friendly mocking library. Simpler syntax than Moq for most scenarios.|Very Good - Cleaner syntax, less setup|Recommended - Many prefer over Moq for simpler syntax
Bogus|https://github.com/bchavez/Bogus|Fake data generator. Realistic test data for users, addresses, companies, etc.|Excellent - Very comprehensive, easy to use, deterministic seeding|Essential for testing - Generates realistic test data easily
Respawn|https://github.com/jbogard/Respawn|Database cleanup for integration tests. Intelligent reset respecting foreign keys.|Excellent - Very useful, handles FK constraints properly|Highly Recommended - Essential for integration tests with PostgreSQL
TestContainers|https://github.com/testcontainers/testcontainers-dotnet|Docker containers for integration testing. Spin up PostgreSQL, Redis, Elasticsearch for tests.|Excellent - Real dependencies in tests, very reliable|Essential for integration testing - Test against real PostgreSQL, Redis, Elasticsearch
WireMock.Net|https://github.com/WireMock-Net/WireMock.Net|HTTP mock server for testing. Stub external APIs, record/playback.|Excellent - Full-featured HTTP mocking, great for external API testing|Highly Recommended - Essential for testing external API integrations
Verify|https://github.com/VerifyTests/Verify|Snapshot/approval testing. Compare test outputs against approved snapshots.|Excellent - Great for complex output verification, many integrations|Highly Recommended - Excellent for testing complex outputs like PDFs, HTML
NetArchTest|https://github.com/BenMorris/NetArchTest|Architecture testing. Verify coding conventions, dependencies, namespace rules.|Very Good - Useful for maintaining architecture boundaries|Recommended - Great for enforcing clean architecture rules
||||
=== DEPENDENCY INJECTION ===||||IoC containers and DI extensions
Microsoft.Extensions.DependencyInjection|Built into .NET|Built-in DI container. Simple, fast, integrated with all Microsoft libraries.|Excellent - Built-in, sufficient for most applications|Essential - Use the built-in container unless you need advanced features
Scrutor|https://github.com/khellang/Scrutor|Assembly scanning and decoration extensions for Microsoft DI. Auto-registration, decorators.|Excellent - Fills gaps in MS DI elegantly, very useful|Highly Recommended - Adds assembly scanning and decorator support to built-in DI
Autofac|https://github.com/autofac/Autofac|Full-featured IoC container. Modules, property injection, interception, lifetime scopes.|Excellent - Very mature, extensive features beyond MS DI|Recommended for complex scenarios - Use when built-in DI is insufficient
||||
=== CONFIGURATION & SECRETS ===||||Configuration management and secret handling
Microsoft.Extensions.Configuration|Built into .NET|Built-in configuration system. JSON, environment variables, user secrets, Azure Key Vault.|Excellent - Built-in, extensible, works great out of box|Essential - Use built-in configuration with providers for your needs
Vault.NET|https://github.com/Chatham/Vault.NET|HashiCorp Vault client for secrets management.|Good - Works, but consider official Vault providers|Recommended if using HashiCorp Vault
||||
=== HEALTH CHECKS ===||||Application health monitoring
AspNetCore.Diagnostics.HealthChecks|https://github.com/Xabaril/AspNetCore.Diagnostics.HealthChecks|Extensive health check library. PostgreSQL, Redis, Elasticsearch, RabbitMQ, and many more.|Excellent - Comprehensive, covers all your infrastructure, UI included|Essential - Health checks for all your infrastructure components
||||
=== RATE LIMITING ===||||API rate limiting and throttling
AspNetCoreRateLimit|https://github.com/stefanprodan/AspNetCoreRateLimit|Rate limiting middleware. IP and client-based limiting, configurable policies.|Very Good - Mature, flexible, multiple limiting strategies|Recommended - Good for API rate limiting. .NET 7+ has built-in rate limiting too.
System.Threading.RateLimiting|Built into .NET 7+|Built-in rate limiting. Fixed window, sliding window, token bucket, concurrency limiter.|Excellent - Built-in from .NET 7, clean API, good performance|Recommended for .NET 7+ - Use built-in for new projects on .NET 7 or later
||||
=== MULTI-TENANCY ===||||Multi-tenant B2B SaaS support
Finbuckle.MultiTenant|https://github.com/Finbuckle/Finbuckle.MultiTenant|Multi-tenancy library for ASP.NET Core. Multiple strategies, EF Core integration, isolation options.|Excellent - Comprehensive, well-documented, actively maintained|Essential for B2B SaaS - Best multi-tenancy library for .NET
||||
=== FEATURE FLAGS ===||||Feature toggles and A/B testing
Microsoft.FeatureManagement|https://github.com/microsoft/FeatureManagement-Dotnet|Microsoft's feature flag library. Simple toggles, time windows, percentage rollouts.|Excellent - Microsoft-backed, integrates with Azure App Configuration|Highly Recommended - Good for basic feature flags
Flagsmith|https://github.com/Flagsmith/flagsmith-dotnet-client|.NET client for Flagsmith feature flag service. Self-hosted or cloud.|Very Good - Open-source server option, good .NET client|Recommended - Good self-hosted feature flag option
||||
=== AUDIT & COMPLIANCE ===||||Audit logging and change tracking
Audit.NET|https://github.com/thepirat000/Audit.NET|Extensible audit trail framework. EF Core, MVC, WebAPI, SignalR, file, database, Elasticsearch output.|Excellent - Very comprehensive, covers many scenarios, active development|Highly Recommended - Essential for B2B compliance requirements
||||
=== CQRS & EVENT SOURCING ===||||Command Query Responsibility Segregation and mediator patterns
MediatR|https://github.com/jbogard/MediatR|Mediator pattern implementation. Decouples request handling, supports pipeline behaviors.|Excellent - Very popular, clean architecture enabler, good pipeline support|Highly Recommended - Great for CQRS and clean architecture
Wolverine|https://github.com/JasperFx/wolverine|Modern mediator and message bus. Local commands, outbox pattern, multi-transport messaging.|Excellent - Modern replacement for MediatR with more features|Recommended - Consider as MediatR alternative with built-in messaging
EventStore Client|https://github.com/EventStore/EventStore-Client-Dotnet|Client for EventStoreDB. Purpose-built event sourcing database.|Excellent - Official client for leading event store database|Recommended if using EventStoreDB - Best event sourcing infrastructure
||||
=== API VERSIONING ===||||API version management
Asp.Versioning.Http|https://github.com/dotnet/aspnet-api-versioning|API versioning for ASP.NET Core. URL, query string, header, media type versioning.|Excellent - Microsoft-maintained, comprehensive options|Highly Recommended - Essential for enterprise APIs that need versioning
||||
=== SECURITY ===||||Security utilities and cryptography
BCrypt.Net-Next|https://github.com/BcryptNet/bcrypt.net|BCrypt password hashing for .NET. Secure password storage.|Very Good - Simple API, secure algorithm|Recommended - Use for password hashing if not using ASP.NET Core Identity
NWebsec|https://github.com/NWebsec/NWebsec|Security headers middleware. CSP, HSTS, X-Frame-Options, etc.|Very Good - Easy to add security headers, comprehensive|Recommended - Adds important security headers easily
||||
=== COMPRESSION ===||||Response compression
Microsoft.AspNetCore.ResponseCompression|Built into ASP.NET Core|Built-in response compression. Gzip, Brotli support.|Excellent - Built-in, easy to configure, good performance|Essential - Enable for API responses
||||
=== LOCALIZATION & GLOBALIZATION ===||||Multi-language and internationalization
Microsoft.Extensions.Localization|Built into .NET|Built-in localization support. Resource files, IStringLocalizer, view localization.|Excellent - Built-in, well-integrated with ASP.NET Core|Essential for multi-language - Built-in solution covers most needs
